epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.628,1.99936,2.18775,1.23517,0.02952,0.33629,0.22138,0.10298,1.76611,2.72012,1.13548,0.000546847,0.000546847,0.000546847
2,780.41,1.78118,1.38705,1.13336,0.90492,0.31159,0.37493,0.18871,1.72778,1.65417,1.13366,0.00106613,0.00106613,0.00106613
3,1177.53,1.76792,1.29001,1.12823,0.36942,0.37704,0.37749,0.18087,1.78098,1.36121,1.16719,0.00154874,0.00154874,0.00154874
4,1572.33,1.70094,1.23504,1.10563,0.53948,0.46983,0.48005,0.24333,1.60996,1.13115,1.08396,0.00150197,0.00150197,0.00150197
5,1961.99,1.66791,1.15091,1.07827,0.55488,0.47177,0.512,0.26019,1.61823,1.12614,1.09305,0.00144696,0.00144696,0.00144696
6,2358.52,1.59567,1.09729,1.05675,0.58936,0.50979,0.53716,0.28637,1.52784,1.0678,1.05574,0.00139195,0.00139195,0.00139195
7,2753.29,1.61274,1.07382,1.04964,0.48911,0.51314,0.51066,0.25766,1.55053,1.03297,1.0524,0.00133693,0.00133693,0.00133693
8,3152.74,1.55596,1.04448,1.04094,0.66486,0.48997,0.52047,0.26095,1.55409,1.06929,1.06991,0.00128192,0.00128192,0.00128192
9,3546.92,1.54102,1.01678,1.03544,0.72469,0.4712,0.56197,0.29673,1.49277,0.96984,1.04395,0.00122691,0.00122691,0.00122691
10,3939.37,1.52505,0.99299,1.02971,0.76752,0.5552,0.62911,0.32354,1.52574,0.9486,1.04938,0.0011719,0.0011719,0.0011719
11,4331.27,1.49838,0.96171,1.02673,0.69719,0.58403,0.61834,0.33781,1.43754,0.91624,1.02264,0.00111689,0.00111689,0.00111689
12,4726.81,1.45543,0.93477,1.00999,0.62445,0.62042,0.6061,0.31904,1.45892,0.9303,1.02317,0.00106188,0.00106188,0.00106188
13,5184.27,1.47504,0.93471,1.01582,0.61882,0.64755,0.62558,0.31691,1.47264,0.9089,1.04507,0.00100687,0.00100687,0.00100687
14,5568.88,1.47747,0.94214,1.02049,0.68804,0.61903,0.61504,0.33571,1.41902,0.87746,1.01772,0.000951857,0.000951857,0.000951857
15,5953.84,1.46063,0.90936,1.01217,0.66852,0.57327,0.61287,0.32684,1.47638,0.89148,1.03067,0.000896846,0.000896846,0.000896846
16,6338.39,1.4454,0.90253,1.01016,0.73639,0.64828,0.67585,0.35659,1.43726,0.8734,1.01877,0.000841835,0.000841835,0.000841835
17,6725.8,1.43738,0.88952,0.99951,0.70925,0.58475,0.64428,0.35807,1.40723,0.84007,1.01424,0.000786824,0.000786824,0.000786824
18,7110.23,1.41849,0.8613,1.00318,0.6244,0.62652,0.63977,0.3499,1.40829,0.83391,1.00981,0.000731813,0.000731813,0.000731813
19,7497.69,1.39516,0.8432,0.98632,0.76937,0.61371,0.67415,0.37298,1.4069,0.83195,1.01149,0.000676802,0.000676802,0.000676802
20,7881.98,1.39008,0.84811,0.99237,0.76926,0.64946,0.68532,0.36453,1.40786,0.81825,1.01683,0.000621791,0.000621791,0.000621791
21,8258.07,1.37238,0.86193,0.99558,0.77003,0.64899,0.67348,0.36745,1.38789,0.82772,1.00762,0.00056678,0.00056678,0.00056678
22,8631.81,1.33845,0.83451,0.98352,0.67545,0.65724,0.6732,0.38027,1.3846,0.82364,1.00268,0.000511769,0.000511769,0.000511769
23,9005.2,1.33226,0.82253,0.9793,0.71326,0.6592,0.67254,0.36519,1.393,0.81635,1.00354,0.000456758,0.000456758,0.000456758
24,9379.01,1.31184,0.82192,0.97717,0.77091,0.65606,0.69003,0.38299,1.38547,0.81734,1.00299,0.000401747,0.000401747,0.000401747
25,9752.43,1.29402,0.79728,0.97466,0.82888,0.62881,0.70081,0.38436,1.35115,0.78027,0.99579,0.000346736,0.000346736,0.000346736
26,10125.6,1.29876,0.79354,0.97563,0.81592,0.63887,0.6948,0.38869,1.34885,0.78044,0.99405,0.000291725,0.000291725,0.000291725
27,10502.8,1.27996,0.77814,0.96917,0.72222,0.6786,0.69993,0.39848,1.34123,0.76863,0.99157,0.000236714,0.000236714,0.000236714
28,10875.3,1.27071,0.76805,0.96854,0.79607,0.65223,0.71095,0.40437,1.34078,0.76279,0.99098,0.000181703,0.000181703,0.000181703
29,11248.5,1.25179,0.75934,0.95806,0.8115,0.66258,0.71847,0.41365,1.32856,0.75115,0.98531,0.000126692,0.000126692,0.000126692
30,11622.5,1.24106,0.75003,0.95615,0.81015,0.6802,0.71878,0.41405,1.3376,0.75959,0.9887,7.1681e-05,7.1681e-05,7.1681e-05
